FOTOTREE NAME                                      | LATITUDE     | LONGITUDE    | LOCATION NAME
Almans Run 2025                                    | -6.888928    | 111.66308    | 
Alsutloopgrapher                                   | -6.242286    | 106.65601    | 
Altilis Run 2025                                   | -7.7272334   | 110.36464    | 
Alun - Alun Kabupaten Kudus                        | -6.734813    | 110.87119    | 
Alun - Alun Kota Mungkid                           | -7.5982285   | 110.22386    | 
Alun Alun Baraka                                   | -3.40968     | 119.85726    | 
ALUN ALUN BOJONEGORO                               | -7.149417    | 111.8812     | 
Alun alun bung karno ungaran                       | -7.13318     | 110.41906    | 
ALUN ALUN CIRIMEKAR                                | -6.474301    | 106.85517    | 
Alun Alun Indramayu                                | -6.3260694   | 108.32262    | 
Alun Alun Kota Tangerang                           | -6.1711392   | 106.63424    | 
ALUN ALUN KOTA TEGAL                               | -6.858847    | 109.10477    | 
Alun Alun Kota Tuban                               | -6.8947954   | 112.06537    | 
Alun Alun Kudus Loop                               | -6.807756    | 110.84169    | 
Alun Alun Manunggal Gombong                        | -7.6103454   | 109.51922    | 
ALUN ALUN PAAMPROKAN                               | -7.684456    | 108.634796   | 
ALUN ALUN PANGBAGEA                                | -7.652733    | 108.51094    | 
ALUN ALUN PARIGI PANGANDARAN                       | -7.700643    | 108.4956     | 
Alun alun Subang                                   | -6.57206     | 107.76109    | 
Alun Alun suka makmue                              | 4.154374     | 96.32478     | 
Alun Alun Sumedang                                 | -6.860291    | 107.92121    | 
Alun alun teluk naga                               | -6.0710087   | 106.64686    | 
Alun-alun Bogor                                    | -6.595551    | 106.79129    | 
Alun-alun boki hotinimbang                         | 0.7426004    | 124.31254    | 
Alun-Alun Cibodas                                  | -6.20726     | 106.60487    | 
Alun-Alun Kabupaten Banjarnegara                   | -7.396089    | 109.69511    | 
Alun-alun Kantor Bupati                            | -0.23827608  | 115.697784   | 
Alun-Alun Kantor Bupati Parigi Moutong             | -0.8070101   | 120.159355   | 
Alun-alun Karanganyar Kebumen                      | -7.630622    | 109.57367    | 
Alun-Alun Kota Probolinggo                         | -7.7440853   | 113.215866   | 
ALUN-ALUN LAMANDAU                                 | -2.164559    | 111.42861    | 
Alun-Alun Pancasila Kebumen                        | -7.6687407   | 109.65167    | 
Alun-Alun Pemkab Deli Serdang                      | 3.5497818    | 98.867355    | 
Alun-alun Selatan Yogyakarta                       | -7.8118486   | 110.3632     | 
Alun-alun Wates                                    | -7.858241    | 110.15752    | 
AM Fun Run 26                                      | -6.8121142   | 107.16739    | 
Ambarrukmo Volcano Run 2024                        | -7.6156507   | 110.42436    | 
Ambyarun Festival 2026                             | -6.3367386   | 107.17066    | 
Ampana Pocari Sweat Virtual Run 2024               | -0.8594588   | 121.59677    | 
